label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,1t_Fo_Ratio
2,9115,45,14959,1,1,1,2,1,1,1,1.114991681,1.659345535
2,1371,915,58312,3,21,1,2,1,1,1,1.661112115,42.52516411
1,1721,779,15855,1,24,1,1,1,1,1,1.452643812,9.212667154
2,5814,951,111236,1,14,1,1,1,1,1,1.163398693,19.13243894
1,2231,1897,15156,1,1,1,2,1,1,1,1.851291349,6.793366213
1,2219,1513,94323,1,1,1,2,1,1,1,1.684925316,42.6994115
1,616697,9,61943,1,2,5,1,1,1,1,1.46E-15,1.198821626
2,1497297,68,91119,1,3,6,1,1,1,1,4.54E-15,1.161782196
2,9111,566,41874,2,7,1,1,1,1,1,1.162129528,4.486717892
1,2785,2719,144121,1,25,1,1,1,1,1,1.972711952,51.71311592
2,14761,475,26996,1,7,1,1,1,1,1,1.132181572,1.82899729
2,21841,711,121591,1,1,1,1,1,1,1,1.1321956,5.567152791
1,1338924,219,216935,2,2,1,2,1,1,1,1.111156195,1.154553218
2,1592,1266,89999,1,1,1,1,1,1,1,1.795226131,56.53213518
2,1197,181,28745,1,1,1,1,1,1,1,1.15137594,24.11421217
2,1589,662,6527,1,7,1,1,1,1,1,1.416614223,4.117614852
2,611922,31,139965,1,7,2,1,1,1,1,4.91E-15,1.228731132
2,4786,111,4149,1,1,1,2,1,1,1,1.121894275,1.846119193
2,4786,111,4149,1,2,1,2,1,1,1,1.121894275,1.846119193
2,4786,111,4149,1,1,1,2,1,1,1,1.121894275,1.846119193
1,4786,111,4149,1,1,1,3,1,1,1,1.121894275,1.846119193
2,1316,379,6575,1,1,1,1,1,1,1,1.291199181,5.134456355
2,8211,261,111565,2,6,1,1,1,1,1,1.131713451,12.38446531
2,4112,2166,23381,1,6,3,1,1,1,1,1.539881359,5.8277667
2,24239,294,11883,1,11,1,1,1,1,1,1.112129213,1.448987169
2,1189,1163,32142,1,9,1,1,1,1,1,1.894128595,26.94869638
2,4397,618,127313,1,5,1,2,1,1,1,1.141551375,28.95224116
2,6524,89,49723,1,1,1,1,1,1,1,1.113641937,7.621551196
1,8286,518,19119,1,1,1,1,1,1,1,1.161318231,2.294111548
1,2182,499,63955,1,1,1,1,1,1,1,1.239673391,31.71815956
