label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,3t_Fo_Ratio
2,4786,100,4049,0,2,0,2,1,0,1,0.020894275,0.846009193
2,4786,100,4049,0,1,0,2,1,0,1,0.020894275,0.846009193
1,4786,100,4049,0,0,1,3,1,0,1,0.020894275,0.846009193
2,1306,379,6575,0,0,1,1,0,0,1,0.290199081,5.034456355
2,8201,260,101565,2,6,0,1,1,0,1,0.031703451,12.38446531
2,4012,2166,23381,1,6,3,1,1,0,1,0.539880359,5.8277667
2,24239,294,10883,1,10,0,1,1,0,0,0.012129213,0.448987169
2,1189,1063,32042,1,9,0,1,0,0,1,0.894028595,26.94869638
2,4397,618,127303,1,5,0,2,0,0,0,0.140550375,28.95224016
2,6524,89,49723,1,0,1,1,1,1,1,0.013641937,7.621551196
1,8286,508,19009,1,0,0,1,0,0,1,0.061308231,2.294110548
1,2082,499,63955,0,0,0,1,0,0,1,0.239673391,30.71805956
1,11026,15,25483,0,0,0,1,0,0,1,0.001360421,2.31117359
1,61019,485,299678,0,2,0,1,0,0,1,0.007948344,4.911224373
1,278728,327,65003,1,9,0,1,0,1,1,0.001173187,0.233213025
1,6079,2054,211802,1,9,0,1,0,0,1,0.33788452,34.84158579
1,4011903,469,173277,0,9,9,1,0,1,1,0.000116902,0.043190725
2,1631,294,74332,3,21,0,2,1,0,0,0.180257511,45.57449418
2,22129,831,109631,0,1,0,1,1,1,1,0.037552533,4.954177776
1,108906,762,19631,0,28,14,1,0,1,1,0.00699686,0.180256368
2,5309,5021,280,2,2,0,2,1,0,0,0.945752496,0.052740629
2,3211,7,79448,0,0,0,1,1,0,1,0.002180006,24.74244784
1,10149,247,76633,0,3,0,1,0,0,1,0.024337373,7.550793182
1,1354940,563,298773,0,5,3,1,1,1,1,0.000415517,0.220506443
1,1532,2000,23628,1,2,0,1,0,0,1,1.305483029,15.4229765
1,3186,4056,26312,1,3,0,1,0,0,1,1.27306968,8.258631513
1,3186,4056,26312,1,6,0,1,0,0,1,1.27306968,8.258631513
1,1338,804,74093,2,5,0,1,1,0,1,0.600896861,55.37593423
2,2508,589,100609,0,2,2,1,0,0,1,0.234848485,40.11523126
1,4874,511,10553,2,5,0,1,1,0,1,0.104842019,2.165162085
1,1110,460,7109,1,5,2,1,1,0,1,0.414414414,6.404504505
2,1255,903,57250,1,1,0,2,1,0,0,0.719521912,45.61752988
2,21841,701,121590,0,0,0,1,1,0,1,0.0320956,5.567052791
2,20771,2290,206127,3,21,0,2,1,0,1,0.110249868,9.923787974
2,1234,472,73322,3,21,0,2,1,0,1,0.382495948,59.41815235
2,2968,563,49712,3,21,0,2,1,0,0,0.189690027,16.74932615
2,18308,243,149490,2,21,2,2,1,0,0,0.013272886,8.165282936
2,115854,329,78081,0,1,1,1,1,0,1,0.002839781,0.673960329
2,2979,676,245381,1,1,0,1,1,0,0,0.226921786,82.37025848
2,4512,116,56032,0,1,0,1,1,0,1,0.02570922,12.41843972
1,17323,17,80369,0,8,4,1,0,0,1,0.000981354,4.639438896
1,2157,1176,235184,1,5,0,1,0,0,1,0.545201669,109.0329161
2,5862,1995,62485,1,2,2,2,1,0,0,0.340327533,10.65933129
2,2510,589,100611,1,0,0,1,1,0,1,0.234661355,40.08406375
1,10930,465,780,1,42,0,1,1,0,1,0.042543458,0.07136322
1,5227,1016,49627,1,23,0,1,0,0,1,0.194375359,9.494356227
1,2978,676,245401,1,23,0,1,0,0,0,0.226997985,82.40463398
1,1793,1717,75324,1,23,0,1,0,0,1,0.957612939,42.01003904
1,1791,1,4722,1,23,0,1,0,0,1,0.000558347,2.636515913
2,20751,484,48351,0,6,4,1,1,0,0,0.023324177,2.330056383
